FRED Graph Observations,,,
Federal Reserve Economic Data,,,
Link: https://fred.stlouisfed.org,,,
Help: https://fredhelp.stlouisfed.org,,,
Economic Research Division,,,
Federal Reserve Bank of St. Louis,,,
,,,
PNICKUSDM,"Global price of Nickel, U.S. Dollars per Metric Ton, Monthly, Not Seasonally Adjusted",,
PCOPPUSDM,"Global price of Copper, U.S. Dollars per Metric Ton, Monthly, Not Seasonally Adjusted",,
PZINCUSDM,"Global price of Zinc, U.S. Dollars per Metric Ton, Monthly, Not Seasonally Adjusted",,
,,,
Frequency: Monthly,,,
observation_date,PNICKUSDM,PCOPPUSDM,PZINCUSDM
2019-09-01,17656.88095238100,5759.25000000000,2331.559523809520
2019-10-01,17046.21739130430,5757.29782608696,2451.652173913040
2019-11-01,15171.80952380950,5859.95238095238,2425.476190476190
2019-12-01,13829.42500000000,6077.06250000000,2272.537500000000
2020-01-01,13506.86363636360,6031.20909090909,2354.306818181820
2020-02-01,12715.55000000000,5687.75000000000,2113.237500000000
2020-03-01,11846.22727272730,5182.63181818182,1903.625000000000
2020-04-01,11804.00950000000,5057.97200000000,1903.367000000000
2020-05-01,12179.60526315790,5239.82631578947,1975.322631578950
2020-06-01,12727.15227272730,5754.59545454546,2025.714545454550
2020-07-01,13402.30391304350,6372.46086956522,2177.195652173910
2020-08-01,14575.78285714290,6508.39285714286,2413.913809523810
2020-09-01,14857.48863636360,6704.90000000000,2442.459090909090
2020-10-01,15239.36363636360,6713.81136363636,2440.652272727270
2020-11-01,15807.73333333330,7068.90714285714,2671.604761904760
2020-12-01,16823.03857142860,7772.23809523810,2779.851428571430
2021-01-01,17863.17600000000,7972.14750000000,2705.345000000000
2021-02-01,18584.38000000000,8470.94000000000,2744.502500000000
2021-03-01,16406.66043478260,8988.24782608696,2791.936956521740
2021-04-01,16521.25000000000,9324.81750000000,2829.012500000000
2021-05-01,17602.10250000000,10166.28500000000,2969.620000000000
2021-06-01,17979.56590909090,9631.50000000000,2951.852272727270
2021-07-01,18818.51136363640,9450.82045454546,2947.517272727270
2021-08-01,19141.29666666670,9370.13857142857,2987.947142857140
2021-09-01,19376.87500000000,9324.70954545455,3036.018636363640
2021-10-01,19362.39285714290,9829.21904761905,3359.912380952380
2021-11-01,19932.86318181820,9728.90454545454,3311.271818181820
